id,make_name
1,أبارث
2,أكورا
3,بايك
4,بي واي دي
5,شانجان
6,شيري
7,إكسيد
8,جي أيه سي
9,جريت وول
10,جيلي
11,هونشي
12,جاك
13,جيتور
14,إم جي
15,شاومي
16,أستون مارتن
17,ألفا روميو
18,أودي
19,إنفينيتي
20,إيسوزو
21,إينيوس
22,بنتلي
23,بورشه
24,بي إم دبليو
26,بيجو
27,تسلا
28,تويوتا
31,جي إم سي
32,جيب
36,رام
37,رولز رويس -
38,ريماك
39,رينو
40,زينجر
41,زينفو
42,سكودا
43,سوبارو
44,سوزوكي
47,شيفروليه
48,فورد
49,فولفو
50,فولكس فاجن
51,فيراري
52,فيسكر
53,كاديلاك
54,كيا
55,لامبورغيني
56,لاند روفر
57,لكزس
58,لوسيد
59,لينك أند كو &
60,لينكولن
61,مازدا
62,مازيراتي
63,ماكلارين
64,مرسيدس
65,ميتسوبيشي
66,نيسان
67,هافال
68,هوندا
69,تستا
70,هينيسي
71,هيونداي
73,BYD
74,لاندروفر
75,هونداي
76,دونج فينج
77,نيتا
78,"تويوتا "
79,Beijing
80,BAIC
81,"كيا "
82,"نيسان "
83,Dong Feng
84,مان
85,MG
87,BMW
88,"هونداي "
89,"مرسيدس "
90,اسوزو
91,ففولكس فاجن
92,"جمس "
93,شفر وليت
94,شيفروليت
95,شفروليت
96,تيسلا
97,"اسوزو "
98,"نسيان "
99,For thing
100,Forthing
101,"دراجه "
102,"دراجة "
103,"TARO "
104,"كزس "
105,"لكزس "
106,Bestune
107,SMART
108,"نيتا "
109,"دودج "
110,GMC
111,اوبل
112,"سامسونج "
113,"شيري "
114,"جيلي "
115,"شفروليه "
116,DONG FENG
117,"LEAP MOTOR "
118,TVS
