id,make_id,model_name
1,1,595
2,1,695
3,2,595
4,2,695
5,3,BJ40 / BJ80
6,4,Han (هان)
7,5,CS35 / CS75 / CS95
8,6,Tiggo 7 / 8 Pro
9,7,VX / TXL
10,8,GS8
11,9,Haval H6 / Jolion
12,10,Monjaro (مونجارو)
13,11,H9
14,12,J7
15,13,X70 / X90
16,14,MG 5 / MG 6
17,15,SU7
18,16,DBX
19,16,DB12
20,16,فانت vantage
21,17,جوليا
22,17,ستيلفيو
23,17,تونالي
24,18,A8
25,18,Q7
26,18,A6
27,18,A4
28,18,A3
29,18,Q5
30,18,Q3
31,18,R8
32,18,e-tron
33,19,MG ZS
34,19,MG RX8
35,19,MG RX5
36,19,MG GT
37,19,MG 5
38,19,MG HS
39,19,MG ONE
40,19,MG WHALE
41,19,MG 7
42,20,QX80
43,20,QX60
44,20,QX50
45,20,Q50
46,21,D-Max
47,21,MU-X
48,22,غريناديير
49,23,BJ40
50,23,BJ80
51,23,X7
52,23,D50
53,24,بينتايجا
54,24,كونتيننتال GT
55,24,فلاينج سبير
56,4,911
57,4,كايين
58,4,باناميرا
59,4,ماكان
60,4,تايكان
61,26,الفئة السابعة
62,26,الفئة الخامسة
63,26,الفئة الثالثة
64,26,X7
65,26,X5
66,26,X6
67,26,الفئة الأولى
68,26,M5
69,26,iX
70,26,X3
71,26,X4
72,26,Z4
73,27,هان
74,27,أتو 3
75,27,سونغ
76,28,3008
77,28,5008
78,28,2008
79,28,508
80,12,Model 3
81,12,Model X
82,12,Model S
83,12,Model Y
84,9,لاندكروزر
85,9,هايلكس
86,9,كامري
87,9,كورولا
88,9,راف فور
89,9,برادو
90,9,فورنتشر
91,9,يارس
92,9,أفالون
93,9,سوبرا
94,9,هايس
95,9,أوريس
96,9,سيينا
97,9,فينزا
98,9,C-HR
99,9,هايلاندر
100,9,تندرا
101,9,4Runner
102,31,J7
103,31,S3
104,31,T8 (بيك آب)
105,32,باور (Poer)
106,32,تانك 300
107,32,تانك 500
108,32,وينجل 7
109,32,كينج كونج باو
110,13,يوكن
111,13,سييرا
112,13,تيرين
113,13,أكاديا
114,10,رانجلر
115,10,جراند شيروكي
116,10,شيروكي
117,73,segal
121,36,مونجارو
122,36,توجيلا
123,36,كولراي
124,36,إمجراند
125,37,G70
126,37,G80
127,37,G90
128,37,GV70
129,37,GV80
130,38,1500
131,38,2500
132,38,TRX
133,39,فانتوم
134,39,كولينان
135,39,غوست
136,40,نيفيرا
137,41,داستر
138,41,كوليوس
139,41,ميجان
140,41,كابتشر
141,41,سيمبول
142,42,21C
143,43,أورورا
144,44,كودياك
145,44,سوبرب
146,44,أوكتافيا
147,44,كاروك
148,5,فورستر
149,5,أوتباك
150,5,WRX
151,5,إمبريزا
152,5,كروستريك
153,5,XV
154,5,BRZ
155,6,جيمي
156,6,سويفت
157,6,ديزاير
158,6,إرتيجا
159,6,فيتارا
160,6,جراند فيتارا
161,6,بالينو
162,6,سياز
163,6,إس-بريسو
164,47,CS95
165,47,CS75 Plus
166,47,Uni-K
167,47,إيدو بلس
168,48,تيجو 8 برو
169,48,تيجو 7 برو
170,48,تيجو 4 برو
171,48,أريزو 6 برو
172,48,أريزو 5
173,49,تاهو
174,49,سيلفرادو
175,49,سوبوربان
176,49,كابتيفا
177,49,ماليبو
178,49,كورفيت
179,49,كروز
180,49,ترافيرس
181,49,بلازر
182,49,إيكوينوكس
183,50,F-150
184,50,إكسبلورر
185,50,موستانج
186,50,إكسبيدشن
187,50,تيريتوري
188,50,رينجر
189,50,إيدج
190,50,كوجا
191,50,إيكو سبورت
192,50,فيوجن
193,50,فوكس
194,51,XC90
195,51,XC60
196,51,S90
197,52,طوارق
198,52,تيرامونت
199,52,جولف
200,52,باسات
201,52,بولو
202,52,تيروك
203,53,SF90
204,53,296 GTB
205,53,بوروسانغوي
206,54,أوشين
207,55,إسكاليد
208,55,XT4
209,55,XT6
210,55,CT5
211,56,سبورتج
212,56,تلورايد
213,56,سيراتو
214,56,K5
215,56,سورينتو
216,56,بيكانتو
217,56,ريو
218,56,كارنيبال
219,56,موهافي
220,56,EV6
221,56,EV9
222,57,أوروس
223,57,هوراكان
224,58,رينج روفر
225,58,ديفندر
226,58,ديسكفري
227,58,رينج روفر سبورت
228,58,رينج روفر فيلار
229,58,رينج روفر إيفوك
230,58,ديفندر 110
231,59,LX600
232,59,ES
233,59,LS
234,59,RX
235,59,GX
236,59,IS
237,59,UX
238,59,NX
239,59,LC
240,59,RC
241,59,CT
242,60,Air
243,60,Gravity
244,62,ناويجيتور
245,62,أفياتور
246,62,نوتيلوس
247,62,كورسير
248,63,مازدا 6
249,63,مازدا 3
250,63,CX-5
251,63,CX-90
252,64,جيبلي
253,64,ليفانتي
254,64,كواتروبورتي
255,64,جريكالي
256,65,750S
257,65,أرتورا
258,65,GT
259,66,S-Class
260,66,G-Class
261,66,E-Class
262,66,C-Class
263,66,GLE
264,66,GLS
265,66,A-Class
266,66,B-Class
267,66,CLA
268,66,CLS
269,66,EQS
270,66,AMG GT
271,67,باجيرو
272,67,L200
273,67,أوتلاندر
274,67,إكسباندر
275,68,باترول
276,68,ألتيما
277,68,صني
278,68,إكس تريل
