id,part_name,default_price
1177,سبويلر طمبون خلفي وسط ,0
1178,غطاء صندوق خلفي فارغ ,0
1179,حساسات طمبون خلفي عدد 2,0
1180,باب خلفي يمين,0
1181,جنط المنيوم ,0
1182,ضوء امامي يمين ,0
1183,بطانة امامي علوي ,0
1184,شل امامي ,0
1185,ضوء امامي يمين زينون,0
1186,جناح امامي يمين + بطانة ,0
1187,طمب,0
1188,ف,0
1189,ق,0
1190,ث,0
1191,ص,0
1192,ع,0
1193,ه,0
1194,خ,0
1195,ل,0
1196,ا,0
1197,ت,0
1198,ن,0
1199,م,0
1200,ي,0
1201,هخ,0
1202,لا,0
1203,و,0
1204,بطانة جناح امامي يمين,0
1205,طمبون امامي علوي,0
1206,جسر طمبون امامي بين الشاصيات,0
1207,شل امامي + اشارة,0
1208,بطانة اسفل الطمبون,0
1209,بلاستيكة واجهة امامية,0
1210,كشافات امامية يمين + يسار,0
1211,دفيوزر طمبون امامي,0
1212,مطرة ماء مساحات,0
1213,غطاء محرك,0
1214,زرفيل غطاء محرك على الواجهة وسط,0
1215,رديتر مكيف,0
1216,شبك طمبون امامي سفلي,0
1217,كوشوكة عجل امامي يمين,0
1218,مطرة راجع,0
1219,زامور عدد 2,0
1220,باب امامي يمين,0
1221,باب امامي يمين ,0
1222,ضوء امامي يسار زينون,0
1223,قشرة طمبون امامي,0
1224,كشافات طمبون امامي ليد ,0
1225,كشافات طمبون امامي ليد,0
1226,شبك طمبون امامي سفلي,0
1227,شبك طمبون امامي سفلي ,0
1228,واجهه اماميه,0
1229,غطاء محرك,0
1230,شبك مساحات,0
1231,رديتر ماء,0
1232,مطرة ماء مساحات,0
1233,مطرة ماء مساحات ,0
1234,مطرة راجع,0
1235,ايرباج تابلو ,0
1236,ايرباج تابلو,0
1237,ايرباج تندة يمين,0
1238,زجاج امامي ,0
1239,زجاج امامي,0
1240,جناح امامي يمين,0
1241,جناح امامي يمين ,0
1242,قشرة طمبون خلفي ,0
1243,قشرة طمبون خلفي,0
1244,باب امامي يسار فارغ,0
1245,جناح امامي يسار ,0
1246,جناح امامي يسار,0
1247,ايرباج طارة,0
1248,صنوبرص امامي يسار,0
1249,كوشوكه عجل عدد 2,0
1250,باب خلفي يسار فارغ,0
1251,بطانة اسفل المحرك,0
1252,بطانة سفل الطمبون الامامي,0
1253,شل امامي,0
1254,كشاف امامي يمين,0
1255,بطانة,0
1256,ضوء خلفي يمين,0
1257,بلاستيكة واجهة خلفية,0
1258,بطانة اسفل الطمبون الخلفي,0
1259,ب,0
1260,برواز ضوء امامي يسار,0
1261,باب امامي يسار كامل,0
1262,مرآة باب امامي يسار,0
1263,جنط امامي يسار,0
1264,دنجل امامي,0
1265,عاكسة طمبون خلفي يمين,0
1266,دفيوزر طمبون خلفي سفلي,0
1267,غطا,0
1268,غطاء صندوق خلفي  ,0
1269,غطاء صندوق خلفي,0
