id,make_name
1,أبارث
2,أكورا
3,بايك
4,بي واي دي
5,شانجان
6,شيري
7,إكسيد
8,جي أيه سي
9,جريت وول
10,جيلي
11,هونشي
12,جاك
13,جيتور
14,إم جي
15,شاومي
16,أستون مارتن
17,ألفا روميو
18,أودي
19,إنفينيتي
20,إيسوزو
21,إينيوس
22,بنتلي
23,بورشه
24,بي إم دبليو
25,بي واي دي
26,بيجو
27,تسلا
28,تويوتا
29,جاك
30,جريت وول
31,جي إم سي
32,جيب
33,جيتور
34,جيلي
35,جينيسيس
36,رام
37,رولز رويس -
38,ريماك
39,رينو
40,زينجر
41,زينفو
42,سكودا
43,سوبارو
44,سوزوكي
45,شانجان
46,شيري
47,شيفروليه
48,فورد
49,فولفو
50,فولكس فاجن
51,فيراري
52,فيسكر
53,كاديلاك
54,كيا
55,لامبورغيني
56,لاند روفر
57,لكزس
58,لوسيد
59,لينك أند كو &
60,لينكولن
61,مازدا
62,مازيراتي
63,ماكلارين
64,مرسيدس
65,ميتسوبيشي
66,نيسان
67,هافال
68,هوندا
69,هونشي
70,هينيسي
71,هيونداي
