part_name,default_price
TCO,0
أجنحة جانبية,0
أحزمة أمان,0
أكس أمامي,0
TCO,0
أجنحة جانبية,0
أحزمة أمان,0
أكس أمامي,0
أكس عجل خلفي,0
إشارة,0
إشارة Turbo,0
إشارة مرسيدس,0
إكزوزت كامل,0
إير فلاب أمامي كامل,0
إيرباج,0
إيرفلاب كامل,0
احزمه امان,0
اسفنج ظهر كرسي الراكب امامي يمين,0
اسفنج ظهر كرسي السائق امامي يسار,0
اسلاك بواجي,0
اسوارة تشغيل على السوتش (قارئ عدسة ),0
اشارة,0
اشارة هونداي,0
اظفر طابة (قاعدة) امامية يسار,0
اظفر طابة (قاعدة) امامية يمين,0
اظفر طابة (قاعدة) خلفية يسار,0
اظفر طابة (قاعدة) خلفية يمين,0
الأشارات,0
الاشارات,0
الباب الامامي اليسار,0
الزرفيل,0
الشعار الامامي,0
الشل,0
الشمعة الامامية اليسار,0
الغطاء الخلفي,0
الماكينه,0
المسطرة المضيئة,0
اليسار,0
امبلي فير,0
انتين امامي يسار,0
انتين امامي يمين,0
انتين خلفي يسار,0
انتين خلفي يمين,0
انتين داخلي على الواجهة,0
انتين سقف خلفي,0
انتين مسجل,0
انتين مفتاح السياره,0
انفيرتر,0
اير فلاب امامي كامل,0
ايرباج باب امامي يسار,0
ايرباج باب امامي يمين,0
ايرباج باب خلفي يسار,0
ايرباج باب خلفي يمين,0
ايرباج تابلو,0
ايرباج تابلو (جهة الراكب),0
ايرباج تنده يمين,0
ايرباج ركبة يسار,0
ايرباج ركبة يمين,0
ايرباج سقف (تندة) يسار,0
ايرباج سقف (تندة) يمين,0
ايرباج شمعة يسار,0
ايرباج شمعة يمين,0
ايرباج طارة,0
ايرباج كرسي امامي يسار,0
ايرباج كرسي امامي يمين,0
ايرباج كرسي خلفي يسار,0
ايرباج كرسي خلفي يمين,0
ايرباج كرسي مساعد امامي يسار,0
ايرباج كرسي مساعد امامي يمين,0
ايرباج مسند راس كرسي الراكب خلفي يسار,0
ايرباج مسند راس كرسي الراكب خلفي يمين,0
ايرباج مسند راس كرسي السائق,0
ايرباج مسند راس كرسي راكب امامي يمين,0
باب,0
باب أمامي يسار,0
باب أمامي يسار فارغ,0
باب أمامي يمين,0
باب أمامي يمين كامل,0
باب امامي يسار,0
باب امامي يسار فارغ,0
باب امامي يسار كامل,0
باب امامي يمين,0
باب امامي يمين فارغ,0
باب خلفي,0
باب خلفي يسار,0
باب خلفي يسار فارغ,0
باب خلفي يمين,0
باب خلفي يمين سفلي,0
باب خلفي يمين فارغ,0
باب خلفي يمين كامل,0
باب خلفي يميين فارغ,0
باب سحاب خلفي يسار كامل,0
باب سحاب خلفي يمين كامل,0
باب صندوق خلفي,0
بايرو فيوز,0
بربيش A,0
بربيش B,0
بربيش C,0
بربيش هواء,0
برداية سقف بانوراما,0
برداية سقف عادية,0
برغي غرفة يسار,0
برغي غرفة يمين,0
برغي قاعدة غرفة امامي يسار,0
برغي قاعدة غرفة امامي يمين,0
برغي قاعدة غرفة خلفي يسار,0
برغي قاعدة غرفة خلفي يمين,0
برواز,0
برواز تابلو وسط,0
برواز شاشة عدادات رئيسية,0
برواز شاشة عرض و تحكم,0
برواز شاشة مسجل,0
برواز عصا جير,0
برواز غماز,0
برواز كشاف,0
برواز كشاف أمامي يسار,0
برواز كشاف طمبون أمامي نكل,0
برواز مسجل,0
برواز هواية تابلو وسط,0
برواز هواية تابلو يسار,0
برواز هواية تابلو يمين,0
برواز واجهة مكيف على التابلو وسط,0
برواز يد باب داخلية امامية يسار,0
برواز يد باب داخلية امامية يمين,0
برواز يد باب داخلية خلفية يسار,0
برواز يد باب داخلية خلفية يمين,0
برواز يد تندة (مسكة) امامية يسار,0
برواز يد تندة (مسكة) امامية يمين,0
برواز يد تندة (مسكة) خلفية يسار,0
برواز يد تندة (مسكة) خلفية يمين,0
بريم نكلة,0
بطارية تشغيل,0
بطارية سيارة الكهرباء الرئيسية,0
بطارية هايبرد,0
بطانة,0
بطانة أسفل الطمبون الأمامي,0
بطانة أسفل الطمبون الخلفي,0
بطانة اسفل الطمبون الخلفي,0
بطانة جناح خلفي يسار,0
بطانة جناح خلفي يمين,0
بطانة جنب داخلية يسار,0
بطانة جنب داخلية يمين,0
بطانة داخلية,0
بطانة سقف,0
بطانة سقف وسط (وسط),0
بطانة سقف وسط امامية,0
بطانة سقف وسط خلفية,0
بطانة سقف يسار امامية,0
بطانة سقف يسار خلفية,0
بطانة سقف يسار وسط,0
بطانة سقف يمين امامية,0
بطانة سقف يمين خلفية,0
بطانة سقف يمين وسط,0
بطانة طربوش خلفي داخلية,0
بطانة طمبون خلفي,0
بطانة ظهر غرفة داخلية,0
بطانة غرفة داخلية امامية يسار,0
بطانة غرفة داخلية امامية يمين,0
بطانة غرفة داخلية خلفية يسار,0
بطانة غرفة داخلية خلفية يمين,0
بطانة غرفة داخلية وسط يسار,0
بطانة غرفة داخلية وسط يمين,0
بطانة فرن علوية,0
بطانه,0
بطانه جناح امامي يمين,0
بطانه جناح خلفي يسار,0
بطن,0
بككس امامي,0
بككس خلفي (قشرة),0
بككس خلفي (كامل),0
بكلة حزام امان امامي يسار,0
بكلة حزام امان امامي يمين,0
بكلة حزام امان خلفي وسط,0
بكلة حزام امان خلفي يسار,0
بكلة حزام امان خلفي يمين,0
بلاستيك واجهه امامية,0
بلاستيكة تابلو وسط,0
بلاستيكة تابلو يسار,0
بلاستيكة تابلو يمين,0
بلاستيكة واجهة خلفية,0
بلاستيكة واجهه خفلية,0
بلاستيكه واجهة اماميه,0
بلاستيكه واجهة خلفي,0
بلف دعسة امامي (مجمع دعسات),0
بلف دعسة امامي كامل (مع الدعسات),0
بلف سنتر طابة امامية يسار,0
بلف سنتر طابة امامية يمين,0
بلف سنتر طابة خلفية يسار,0
بلف سنتر طابة خلفية يمين,0
بلف سنتر غرفة (Actuator),0
بوجية,0
بوري هزاء داخل الجحش الوسط,0
بوكس غرفة امامي يسار مع كوشوكة,0
بوكس غرفة امامي يمين مع كوشوكة,0
بوكس غرفة خلفي يسار مع كوشوكة,0
بوكس غرفة خلفي يمين مع كوشوكة,0
بوكس غرفة يسار وسط مع كوشوكة,0
بوكس غرفة يمين وسط مع كوشوكة,0
بيل عجل,0
تابلو,0
تابلو (كامل),0
تابلو أمامي,0
تابلو امامي,0
تابلو خلفي,0
تابلو ساعات,0
تابلو سفلي,0
تابلو علوي,0
تخت سفلي,0
تخت علوي,0
ترييحة رجل سفلية يسار بجانب الدعسات,0
تنك امونيا (صغير),0
تنك امونيا (كبير),0
تنك امونيا (وسط),0
تنك بنزين,0
ثلاجة تبريد,0
ثلاجة مكيف,0
جحش غرفة (كامل),0
جحش غرفة (نظام صنوبرصات),0
جحش غرفة (نظام طابات هواء مع بلف سنتر),0
جحش كفات,0
جحش وسط بين الكرسيين,0
جدلة,0
جدلة USB داخلية,0
جدلة الكاميرات,0
جدلة امونيا (برابيش),0
جدلة امونيا (كهرباء),0
جدلة امونيا كاملة (كهرباء + برابيش),0
جدلة حساس ABS امامي يسار,0
جدلة حساس ABS امامي يمين,0
جدلة حساس ABS خلفي يسار,0
جدلة حساس ABS خلفي يمين,0
جدلة ضوء خلفي يسار,0
جدلة ضوء خلفي يمين,0
جدلة كمبيوتر هوك خلفي,0
جدلة كهرباء داخلية (داخل الغرفه),0
جدلة محرك سفلية,0
جدلة محرك علوية,0
جدلة محرك كهرباء,0
جدله,0
جدله %50,0
جرار نص (تحت التخت),0
جريب يمين,0
جسر,0
جسر ارضية امامي,0
جسر ارضية خلفي,0
جسر ارضية وسط,0
جسر الطمبون الامامي,0
جسر بلاستيك,0
جسر تابلو أمامي,0
جسر تابلو امامي,0
جسر تابلو امامي داخلي,0
جسر جنب يسار امامي,0
جسر جنب يسار خلفي,0
جسر جنب يسار وسط,0
جسر جنب يمين امامي,0
جسر جنب يمين خلفي,0
جسر جنب يمين وسط,0
جسر ستيرنج,0
جسر طابات امامي على الواجهة,0
جسر طمبون أمامي,0
جسر طمبون أمامي بلاستيك,0
جسر طمبون خلفي,0
جعمكة,0
جعمكة امامية,0
جك غرفة,0
جلدة برغي غرفة,0
جلدة شاحن تلفون وايرلس,0
جناح أمامي,0
جناح أمامي (يمين/يسار),0
جناح أمامي يسار,0
جناح أمامي يمين,0
جناح أمامية يسار,0
جناح امامي يسار,0
جناح امامي يمين,0
جناح اماميه يمين,0
جناح عجل امامي يسار (مركبات شحن) قطعة امامية,0
جناح عجل امامي يسار (مركبات شحن) قطعة خلفية,0
جناح عجل امامي يسار (مركبات شحن) قطعة علوية وسط,0
جناح عجل امامي يسار كامل (مركبات شحن),0
جناح عجل امامي يمين (مركبات شحن) قطعة امامية,0
جناح عجل امامي يمين (مركبات شحن) قطعة خلفية,0
جناح عجل امامي يمين (مركبات شحن) قطعة علوية وسط,0
جناح عجل خلفي يسار (مركبات شحن) قطعة امامية,0
جناح عجل خلفي يسار (مركبات شحن) قطعة خلفية,0
جناح عجل خلفي يسار (مركبات شحن) قطعة وسط,0
